epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,427.027,1.3484,13.6791,0.65876,1.32912,1.10676,0.95183,0.94287,0.98413,0.73871,0.93722,0.934,0.96848,0.57667,0.86601,4.03531,0.56975,0.58326,0.92948,0.00997608,0.00332536,0.00997608,0.00332536,0.00997608,0.00332536,0.00997608,0.00332536
2,735.416,1.19094,6.9018,0.55124,0.75595,0.96084,0.94455,0.9407,0.9812,0.73935,0.94648,0.94124,0.98003,0.76116,0.88297,2.28043,0.40547,0.70809,0.92699,0.0197783,0.00659277,0.0197783,0.00659277,0.0197783,0.00659277,0.0197783,0.00659277
3,1030.79,1.37584,6.37129,0.46322,0.86705,0.98943,0.94239,0.91567,0.95184,0.66541,0.94133,0.91567,0.94747,0.61004,1.055,3.13673,0.30772,0.78501,0.99249,0.0293826,0.00979418,0.0293826,0.00979418,0.0293826,0.00979418,0.0293826,0.00979418
4,1232.27,1.33433,5.30163,0.39919,0.84424,1.00468,0.95001,0.92026,0.96472,0.69398,0.94833,0.91863,0.96223,0.81866,0.95391,1.69917,0.22801,0.68075,0.94669,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1572.77,1.2039,4.40235,0.36805,0.76104,0.97361,0.96965,0.95603,0.98683,0.74361,0.96756,0.95757,0.98706,0.84671,0.8646,1.50534,0.17117,0.5745,0.92689,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1827.12,1.15038,4.04859,0.34407,0.72584,0.95832,0.97951,0.96231,0.99097,0.78204,0.9795,0.96203,0.99072,0.91189,0.77056,1.10126,0.15647,0.51906,0.90444,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2146,1.13623,3.82998,0.32322,0.70303,0.95217,0.98222,0.9728,0.99281,0.78069,0.98167,0.97225,0.99267,0.9234,0.77324,1.08937,0.14744,0.49702,0.89703,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2365.91,1.0939,3.74447,0.30721,0.67146,0.93522,0.98268,0.97769,0.99246,0.79366,0.98302,0.97654,0.99237,0.93196,0.72783,0.95497,0.13249,0.47638,0.8852,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2559.59,1.17836,4.10447,0.28711,0.69851,0.92945,0.98748,0.96137,0.98966,0.79557,0.98769,0.96069,0.98933,0.88976,0.73373,1.17703,0.10781,0.48631,0.88256,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2730.22,1.06808,3.47906,0.27046,0.64758,0.92234,0.92727,0.95484,0.9562,0.76825,0.92727,0.95484,0.95547,0.90436,0.71742,0.84648,0.11334,0.50462,0.88293,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2900.18,1.14609,3.95515,0.26004,0.67366,0.92141,0.97862,0.9728,0.99209,0.79643,0.97862,0.9728,0.99209,0.93646,0.71512,0.95019,0.09532,0.46121,0.8849,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3078.35,1.01632,3.27286,0.23901,0.59843,0.91433,0.98249,0.97696,0.99387,0.81176,0.98305,0.97552,0.99382,0.95132,0.69122,0.78819,0.08992,0.43306,0.8745,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3254.88,1.05834,3.48258,0.23239,0.62726,0.9069,0.98949,0.97362,0.99306,0.82008,0.98949,0.97362,0.99306,0.95337,0.6616,0.76793,0.08087,0.42092,0.87,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3540.69,1.01143,3.21694,0.2242,0.59363,0.90894,0.98625,0.97769,0.99416,0.82334,0.98627,0.97737,0.99413,0.96564,0.65148,0.6816,0.07918,0.41279,0.86609,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,223.771,1.0801,3.62521,0.21753,0.62233,0.90146,0.99246,0.97661,0.99415,0.82606,0.99246,0.97661,0.99415,0.95805,0.65373,0.73312,0.07098,0.41905,0.86837,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,413.896,1.0292,3.39771,0.20862,0.59626,0.90106,0.99015,0.98416,0.99449,0.82752,0.9896,0.98361,0.99444,0.95918,0.64642,0.68452,0.06331,0.39597,0.86412,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,584.705,1.05687,3.56274,0.20774,0.59948,0.8932,0.98818,0.98477,0.99455,0.82954,0.98759,0.98422,0.99451,0.95837,0.63518,0.69742,0.06632,0.40151,0.86252,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,757.298,0.97975,3.09443,0.19424,0.57145,0.89658,0.9912,0.98086,0.99422,0.83398,0.9912,0.98086,0.99419,0.96787,0.62362,0.59979,0.05866,0.3963,0.85927,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,968.601,0.93231,2.79451,0.18856,0.54557,0.89378,0.99016,0.98546,0.99434,0.83739,0.98961,0.98491,0.99425,0.95568,0.61779,0.71348,0.05221,0.38491,0.85919,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1152.56,0.92234,2.71503,0.18521,0.53695,0.89007,0.99282,0.97752,0.99414,0.8454,0.99282,0.97752,0.99414,0.97056,0.59828,0.57829,0.05762,0.37669,0.85199,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1341.39,0.91569,2.69213,0.17878,0.53376,0.88675,0.99117,0.98313,0.99431,0.83672,0.99117,0.98313,0.99431,0.97119,0.61235,0.57033,0.05182,0.37761,0.85573,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1528.96,0.90198,2.73186,0.17462,0.5259,0.88649,0.99181,0.98776,0.99475,0.8429,0.99181,0.98776,0.99475,0.97369,0.59346,0.54658,0.04946,0.37313,0.85309,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1800.09,0.98164,3.18613,0.16956,0.55108,0.88247,0.99019,0.98825,0.99465,0.8405,0.9907,0.9855,0.9946,0.96795,0.61235,0.62807,0.04211,0.37596,0.85734,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1983.31,0.90299,2.70585,0.1659,0.52109,0.88056,0.99141,0.98857,0.99392,0.84663,0.99141,0.98857,0.99392,0.97087,0.59546,0.55636,0.04378,0.36508,0.85254,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2173.73,0.97999,3.16406,0.16253,0.54888,0.88118,0.99393,0.98477,0.99472,0.84655,0.99393,0.98477,0.9947,0.96084,0.58595,0.63376,0.03741,0.37123,0.85161,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2370.48,0.88883,2.59581,0.15702,0.50535,0.88019,0.98914,0.9912,0.99465,0.85569,0.98914,0.9912,0.99465,0.97623,0.56286,0.5053,0.03755,0.34414,0.84579,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2564.84,0.92671,2.85064,0.15564,0.52739,0.87767,0.99182,0.99008,0.99484,0.85697,0.99182,0.99008,0.99484,0.97763,0.56403,0.49484,0.03777,0.3457,0.8468,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2745.76,0.89054,2.62738,0.1535,0.51205,0.88031,0.98779,0.98694,0.99469,0.85105,0.98834,0.98749,0.99472,0.97465,0.5716,0.51699,0.03452,0.35653,0.85024,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2931.94,0.89432,2.72509,0.15084,0.51066,0.87546,0.99096,0.98966,0.99483,0.86125,0.99096,0.98966,0.99483,0.97773,0.55818,0.48407,0.03397,0.34109,0.84541,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3108.82,0.91671,2.79193,0.15179,0.52461,0.87679,0.99073,0.98816,0.99466,0.85263,0.99073,0.98816,0.99466,0.97311,0.56201,0.51546,0.03307,0.34965,0.84517,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3283.69,0.91816,2.88552,0.14279,0.51878,0.8709,0.99344,0.9888,0.99481,0.85133,0.99344,0.9888,0.99481,0.97322,0.56547,0.50252,0.03088,0.34712,0.84661,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
