epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,221.145,1.88394,2.7997,0.53793,1.69371,1.24007,0.94458,0.87798,0.94955,0.52407,0.95335,0.89918,0.96882,0.80498,1.38501,0.76739,0.19175,0.74917,0.98518,0.00998839,0.00332946,0.00998839,0.00332946,0.00998839,0.00332946,0.00998839,0.00332946
2,396.418,1.45048,0.95157,0.25824,0.80441,0.992,0.93906,0.93516,0.96425,0.59331,0.94818,0.94839,0.97778,0.86908,1.24541,0.52908,0.0818,0.69439,0.96179,0.0197905,0.00659683,0.0197905,0.00659683,0.0197905,0.00659683,0.0197905,0.00659683
3,560.244,1.44676,0.83101,0.17896,0.81769,0.99758,0.94255,0.89791,0.94888,0.56321,0.94758,0.90838,0.96264,0.86105,1.33154,0.48525,0.0508,0.77714,0.98895,0.0293946,0.00979821,0.0293946,0.00979821,0.0293946,0.00979821,0.0293946,0.00979821
4,708.88,1.39511,0.7518,0.13399,0.79416,0.98539,0.94502,0.94121,0.97062,0.62244,0.95223,0.9507,0.97893,0.90616,1.16177,0.36253,0.02301,0.66356,0.93466,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,857.497,1.27519,0.6302,0.10781,0.70817,0.95354,0.96396,0.93963,0.97549,0.64934,0.96929,0.9478,0.98106,0.92125,1.11244,0.3248,0.0192,0.61317,0.92426,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1002.99,1.2035,0.55918,0.08749,0.66231,0.93397,0.97472,0.95322,0.9811,0.66849,0.97885,0.95733,0.98837,0.93507,1.01985,0.28378,0.01399,0.55826,0.89851,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1144.52,1.14154,0.51346,0.07574,0.62249,0.91571,0.97582,0.95676,0.98377,0.69065,0.97784,0.96224,0.98932,0.94515,0.95534,0.25293,0.01273,0.51666,0.88072,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1292.2,1.10523,0.47837,0.06815,0.60309,0.90796,0.97522,0.96745,0.98491,0.7026,0.98008,0.9725,0.99001,0.94978,0.94083,0.23526,0.00955,0.51966,0.88132,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1433.74,1.06062,0.45053,0.06205,0.57654,0.89564,0.98524,0.97065,0.99065,0.72235,0.98722,0.97635,0.99302,0.96146,0.87183,0.21385,0.00989,0.47656,0.86046,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1584.04,1.03773,0.43772,0.05876,0.56416,0.89386,0.98659,0.9725,0.99009,0.72482,0.98888,0.9744,0.99287,0.95899,0.84752,0.2054,0.0072,0.46507,0.86066,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1745.23,1.01029,0.4094,0.05433,0.5459,0.88516,0.98314,0.97219,0.9886,0.73651,0.98659,0.97627,0.99246,0.96452,0.83659,0.19476,0.00716,0.47159,0.85273,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1901.05,0.98787,0.39802,0.05058,0.53477,0.8809,0.98565,0.97662,0.99225,0.74273,0.98818,0.97797,0.99353,0.9671,0.8089,0.18377,0.00694,0.44321,0.84791,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
